location,total_cases,first_case,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,diabetes_prevalence,female_smokers,male_smokers,total_deaths
Puerto Rico,-0.016019652,0.186806039,-0.027989059,0.016006815,0.218006872,0.230668059,0.222560898,0.123329551,0.236889373,-0.063476057,-0.107999285,-0.01879706
Portugal,0.002533794,-0.016445993,-0.022892296,0.016006815,0.459698715,0.475176841,0.506136342,0.062178663,0.091858465,0.147777667,0.017963659,-0.006197812
Paraguay,-0.01716221,0.024204413,-0.025021204,0.016006815,-0.135467448,-0.108648675,-0.111162039,-0.102230965,0.016727699,-0.109625523,-0.104843358,-0.020033213
Palestine,-0.017300266,0.007944251,-0.026432367,0.016006815,-0.319757478,-0.237388301,-0.22843259,-0.139888927,0.127046292,-0.063476057,-0.107999285,-0.020116416
Qatar,0.00138836,-0.032706156,-0.027975011,0.016006815,0.027674546,-0.304402391,-0.290156863,0.827868415,0.409024418,-0.205297504,-0.027357978,-0.019997555
Kosovo,-0.017033501,0.089245064,-0.004102274,0.016006815,-0.118357292,-0.058187857,-0.0524208,-0.03351965,-0.023558156,-0.063476057,-0.107999285,-0.019819264
Romania,-0.006188188,-0.0570964,-0.016610869,0.016006815,0.363021978,0.334200196,0.326139681,0.022399237,0.086627842,0.298119352,0.121764829,-0.008087699
Russia,0.156508767,-0.268478513,0.071414647,0.016006815,0.260302945,0.192451499,0.198294186,0.034897842,-0.082654136,0.309508874,0.431706349,0.006128057
Saudi Arabia,0.01454036,-0.016445993,-0.005788955,0.016006815,0.027674546,-0.227660449,-0.221809337,0.243783258,0.466085759,-0.182518461,-0.049287803,-0.016919059
Sudan,-0.016387082,0.072984901,0.0004886,0.016006815,-0.340905514,-0.217893995,-0.211290051,-0.139746033,0.368605968,-0.063476057,-0.107999285,-0.019094212
Senegal,-0.016180717,-0.016445993,-0.018343461,0.016006815,-0.371116995,-0.238739391,-0.224536559,-0.156917754,-0.261446338,-0.214409122,-0.177942774,-0.019902466
Singapore,0.000530542,-0.333519164,-0.025912033,0.016006815,0.34489509,0.14396665,0.067832785,0.557720387,0.146066739,-0.105069714,-0.006890142,-0.019914352
Sierra Leone,-0.017416032,0.219326365,-0.024434499,0.016006815,-0.359032403,-0.256882607,-0.25297759,-0.166211814,-0.261446338,-0.023065158,0.183168338,-0.019914352
El Salvador,-0.016894726,0.113635308,-0.025470256,0.016006815,-0.10223482,-0.035496774,-0.023000409,-0.1154333,0.04525837,-0.166573131,-0.145779031,-0.019926238
San Marino,-0.017231957,-0.048966318,-0.029953114,0.016006815,-0.118357292,-0.058187857,-0.0524208,0.311027791,-0.10833174,-0.063476057,-0.107999285,-0.019676631
Somalia,-0.016817788,0.097375145,-0.018934512,0.016006815,-0.428518807,-0.249432308,-0.241233837,-0.03351965,-0.088835781,-0.063476057,-0.107999285,-0.019545884
Serbia,-0.010291762,0.016074332,-0.025249043,0.016006815,0.308641313,0.315516544,-0.0524208,-0.05730522,0.102795222,0.635249193,0.167086466,-0.017525249
Sao Tome and Principe,-0.017525326,0.284367015,-0.029824426,0.016006815,-0.371116995,-0.243448907,-0.204165879,-0.151909433,-0.261446338,-0.063476057,-0.107999285,-0.020080757
Suriname,-0.01768711,0.081114983,-0.029569116,0.016006815,-0.041811859,-0.08722424,-0.089121631,-0.059729326,0.219770971,-0.054955819,0.20656015,-0.020152074
Slovakia,-0.016638028,0.016074332,-0.02618348,0.016006815,0.308641313,0.226885006,0.18571557,0.081263165,-0.029872396,0.302675161,0.130536759,-0.019843036
Slovenia,-0.016642342,-0.00018583,-0.028532308,0.016006815,0.408339199,0.38098653,0.395155098,0.091980293,-0.03177444,0.234338031,-0.055135756,-0.018939693
Sweden,0.002373447,-0.268478513,-0.022959992,0.016006815,0.302599017,0.416616718,0.423150868,0.225749471,-0.148750189,0.204725275,-0.144317043,0.02096189
Swaziland,-0.01755984,0.081114983,-0.029170643,0.016006815,-0.28652485,-0.23275599,-0.221809337,-0.111591745,-0.189168639,-0.184796365,-0.179404762,-0.020140188
Sint Maarten (Dutch part),-0.017638935,-0.016445993,-0.0299469,0.016006815,-0.118357292,-0.058187857,-0.0524208,0.13436392,-0.023558156,-0.063476057,-0.107999285,-0.019985669
Syria,-0.017659787,0.146155633,-0.017817708,0.016006815,-0.280482554,-0.058187857,-0.181067977,-0.03351965,-0.023558156,-0.063476057,-0.107999285,-0.020128302
Turks and Caicos Islands,-0.017685672,0.162415796,-0.029949793,0.016006815,-0.118357292,-0.058187857,-0.0524208,-0.03351965,-0.023558156,-0.063476057,-0.107999285,-0.020152074
Chad,-0.017426817,0.121765389,-0.018564448,0.016006815,-0.431539956,-0.258889941,-0.244016717,-0.162961001,-0.086458226,-0.063476057,-0.107999285,-0.019664745
Togo,-0.017536831,0.016074332,-0.02422485,0.016006815,-0.349968959,-0.245263228,-0.239619767,-0.165871869,-0.08408067,-0.2030196,-0.213030493,-0.020033213
Thailand,-0.015524951,-0.422950058,0.018518455,0.016006815,0.275408685,0.084171244,0.058983227,-0.03813009,-0.041760175,-0.180240557,0.14661863,-0.019498339
Tajikistan,-0.017118348,0.463228804,-0.023350196,0.016006815,-0.232144185,-0.221059407,-0.204555482,-0.153249848,-0.038431597,-0.063476057,-0.107999285,-0.01989058
