location,total_cases,first_case,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,diabetes_prevalence,female_smokers,male_smokers,total_deaths
Guinea-Bissau,-0.017104686,0.178675958,-0.028609382,0.016006815,-0.349968959,-0.238971007,-0.237393463,-0.164849253,-0.261446338,-0.063476057,-0.107999285,-0.020128302
Equatorial Guinea,-0.017318961,0.081114983,-0.029001937,0.016006815,-0.259334517,-0.24499301,-0.226985493,0.016305239,-0.006572348,-0.063476057,-0.107999285,-0.020092644
Greece,-0.015709744,-0.0570964,-0.022735034,0.016006815,0.432508383,0.432482381,0.483873304,0.033249675,-0.160162458,0.580579489,0.339601086,-0.018321617
Guatemala,-0.016729346,0.081114983,-0.017529439,0.016006815,-0.244228777,-0.173655431,-0.156634294,-0.114303246,0.107550334,-0.063476057,-0.107999285,-0.019819264
Guam,-0.017585006,0.113635308,-0.029859428,0.016006815,0.012568806,0.013837331,-0.018770432,-0.03351965,0.646780006,-0.063476057,-0.107999285,-0.02010453
Guyana,-0.017613049,0.06485482,-0.029430214,0.016006815,-0.141509744,-0.15006925,-0.166597003,-0.114206553,0.176023943,-0.063476057,-0.107999285,-0.020045099
Honduras,-0.016072861,0.056724739,-0.023095238,0.016006815,-0.183805817,-0.175276739,-0.164036754,-0.139098302,-0.033676485,-0.177962652,-0.107999285,-0.018701972
Croatia,-0.016103061,-0.065226481,-0.027124464,0.016006815,0.393233458,0.406541443,0.402000982,0.016863804,-0.110709295,0.557800446,0.162700501,-0.019046668
Haiti,-0.017526045,0.121765389,-0.02205452,0.016006815,-0.201932705,-0.169563556,-0.160085064,-0.163950217,-0.060305111,-0.157461513,-0.082913534,-0.019950011
Hungary,-0.015263938,-0.00018583,-0.023264942,0.016006815,0.37510657,0.362264276,0.342057753,0.052204463,-0.017509105,0.386957621,0.088139098,-0.014981628
Indonesia,-0.006593728,-0.024576074,0.160060167,0.016006815,-0.050875303,-0.149528814,-0.154574963,-0.081912068,-0.07599698,-0.159739418,0.691940267,-0.007945066
Isle of Man,-0.017455579,0.12989547,-0.029917616,0.016006815,-0.118357292,-0.058187857,-0.0524208,-0.03351965,-0.023558156,-0.063476057,-0.107999285,-0.01989058
India,0.038393146,-0.284738676,0.928813262,0.016006815,-0.084107931,-0.123665081,-0.134482571,-0.12288197,0.117536068,-0.180240557,-0.119463241,0.010133668
Ireland,-0.000867995,-0.032706156,-0.026546046,0.016006815,0.233112612,0.182800852,0.158499006,0.40113808,-0.220552377,0.300397257,-0.044901838,-0.002370493
Iran,0.063359729,-0.114006969,0.028379353,0.016006815,0.042780286,-0.144857901,-0.147395133,-0.013998046,0.079495174,-0.205297504,-0.1121533,0.060459346
Iraq,-0.015514165,-0.073356562,-0.00203118,0.016006815,-0.33184207,-0.231868131,-0.215575686,-0.043409856,0.043356325,-0.063476057,-0.107999285,-0.01879706
Iceland,-0.016398587,-0.040836237,-0.029739602,0.016006815,0.19081654,0.202217953,0.187941874,0.221737499,-0.124023608,0.10221958,-0.19841061,-0.020045099
Israel,-0.005795591,-0.097746806,-0.023963056,0.016006815,-0.011600378,0.098068175,0.085086639,0.106876875,-0.05602551,0.127276528,0.096911028,-0.017026034
Italy,0.142007843,-0.276608595,0.012030559,0.016006815,0.511058232,0.53381417,0.579381736,0.124838704,-0.149225701,0.227504318,-0.014200084,0.349564562
Jamaica,-0.017328308,0.056724739,-0.027919359,0.016006815,0.012568806,0.018971475,0.03115443,-0.107680682,0.159856563,-0.10279181,-0.002504177,-0.020056985
Jersey,-0.017481464,0.121765389,-0.004102274,0.016006815,-0.118357292,-0.058187857,-0.0524208,-0.03351965,-0.023558156,-0.063476057,-0.107999285,-0.019843036
Jordan,-0.017275818,-0.016445993,-0.022887826,0.016006815,-0.235165333,-0.207780117,-0.193090018,-0.106442492,0.182205588,-0.063476057,-0.107999285,-0.020056985
Japan,-0.006132822,-0.406689895,0.05789575,0.016006815,0.520121676,0.689305388,0.704778296,0.157377887,-0.10452765,0.031604546,0.072057226,-0.01199822
Kazakhstan,-0.013688517,0.081114983,-0.016931142,0.016006815,-0.011600378,-0.08498529,-0.067081224,0.028786292,-0.038431597,-0.064067436,0.209484127,-0.019783605
Kenya,-0.017164367,0.072984901,0.00738216,0.016006815,-0.33184207,-0.251169424,-0.239452794,-0.152422934,-0.237670779,-0.196185887,-0.122387218,-0.019688517
Kyrgyzstan,-0.016916297,0.113635308,-0.025443861,0.016006815,-0.141509744,-0.181568961,-0.164092411,-0.148977745,-0.038431597,-0.141516183,0.317671261,-0.020021327
South Korea,-0.009791308,-0.366039489,0.005643757,0.016006815,0.37510657,0.182260416,0.155382181,0.131018427,-0.053172443,-0.082290671,0.177320384,-0.017073578
Kuwait,-0.009764704,-0.081486643,-0.027009621,0.016006815,0.082055211,-0.264332906,-0.262495038,0.385611077,0.376689658,-0.162017322,0.12030284,-0.019189301
