location,total_cases,first_case,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,diabetes_prevalence,female_smokers,male_smokers,total_deaths
Malaysia,-0.009295431,-0.341659793,-0.00365803,0.013622037,-0.006961776,-0.090154423,-0.113008998,0.067479349,0.388519496,-0.188710251,0.194640959,-0.016235732
Namibia,-0.014158299,0.064844272,-0.024379635,0.013622037,-0.245632471,-0.195964112,-0.186588337,-0.081017327,-0.183675408,0.009467425,0.078163686,-0.002413825
New Caledonia,-0.014156861,0.113624759,-0.025946639,0.013622037,0.098778405,0.051169646,0.058527709,-0.019430832,0.684451548,-0.052872324,-0.104107394,-0.002413825
Niger,-0.013551429,0.113624759,-0.009326919,0.013622037,-0.454091685,-0.234528096,-0.225938257,-0.155116277,-0.251623553,-0.20921139,-0.188881768,-0.016972669
Nigeria,-0.010595455,-0.065237029,0.117074838,0.013622037,-0.363457244,-0.226884784,-0.222097883,-0.117167636,-0.251623553,-0.197821869,-0.254222677,-0.01560577
Nicaragua,-0.014151828,0.097364597,-0.021542441,0.013622037,-0.085511625,-0.122889416,-0.106775347,-0.117313928,0.152936125,-0.052872324,-0.104107394,-0.017459999
Netherlands,0.016900638,-0.065237029,-0.014240175,0.013622037,0.394850913,0.391837471,0.358633458,0.253800573,-0.123326727,0.344319361,-0.019847677,0.04855531
Norway,-0.008303875,-0.07336711,-0.022378468,0.013622037,0.289110732,0.316253606,0.299191147,0.394222864,-0.122432672,0.234979954,-0.113597677,-0.014833174
Nepal,-0.014012334,-0.341659793,-0.005901578,0.013622037,-0.15499803,-0.108838075,-0.123862228,-0.142071234,-0.035262355,0.004911617,0.12930005,-0.002413825
New Zealand,-0.013345065,-0.065237029,-0.022794642,0.013622037,0.234730067,0.258388329,0.238357396,0.147270621,0.001393881,0.125640546,-0.163313586,-0.01730548
Oman,-0.011279982,-0.089627273,-0.022597056,0.013622037,0.017207408,-0.242171408,-0.217478302,0.163395121,0.203897234,-0.200099773,-0.186040859,-0.017353024
Pakistan,0.011563204,-0.07336711,0.127324618,0.013622037,-0.20031525,-0.159561873,-0.147906309,-0.119779957,0.013463618,-0.147707973,0.11367505,-0.008402803
Panama,-0.007738709,0.024193865,-0.023147214,0.013622037,-0.013004072,-0.02742522,-0.022676722,0.028424075,0.012569563,-0.156819591,-0.267006768,-0.01451225
Peru,0.040697271,-0.000196379,-0.003237104,0.013622037,-0.03113096,-0.057033404,-0.054679839,-0.057840265,-0.093822927,-0.102149887,-0.104107394,0.008225828
Philippines,-0.005815996,-0.301009387,0.049988781,0.013622037,-0.148955734,-0.147672277,-0.154529563,-0.097724536,-0.043755873,-0.033812757,0.171913686,-0.008379031
Papua New Guinea,-0.014164052,0.113624759,-0.019928854,0.013622037,-0.227505583,-0.18608185,-0.183415855,-0.130199399,0.429198977,0.323818223,0.28555005,-0.002413825
Poland,-0.001799438,-0.024586623,0.000149738,0.013622037,0.35255484,0.314014656,0.265184357,0.070990708,-0.095611036,0.319262414,0.062538686,-0.007321169
Puerto Rico,-0.012495159,0.170535329,-0.024157361,0.013622037,0.243793511,0.252443531,0.244424074,0.13831617,0.216861025,-0.052872324,-0.104107394,-0.016188188
Portugal,0.006058233,-0.032716704,-0.019060612,0.013622037,0.485485354,0.496952313,0.527999518,0.077186838,0.080517708,0.159809111,0.018504595,-0.003588939
Paraguay,-0.013637714,0.007933703,-0.021189514,0.013622037,-0.109680809,-0.086873203,-0.089298862,-0.087164839,0.009887399,-0.097594078,-0.100813586,-0.017424341
